,Date,Score
164,06/17/18,0.08844217678965091
165,06/19/18,0.08524300261287426
166,06/20/18,0.09675935618678813
167,06/23/18,0.11646922622665737
168,06/22/18,0.0937729921544147
169,06/21/18,0.09205809547737351
170,06/24/18,0.07613142458797051
171,06/25/18,0.09816144571686268
172,06/26/18,0.09698192642064285
173,06/27/18,0.0906706053801897
174,06/28/18,0.11195422968637259
175,06/29/18,0.09891905762301093
176,06/30/18,0.11060664840216065
177,07/02/18,0.11253391100333136
178,07/03/18,0.09545426320237266
179,07/01/18,0.11189843931338497
180,07/04/18,0.12489376964554985
181,07/06/18,0.13055612505624886
182,07/05/18,0.10360328413085694
183,07/07/18,0.11956388165243048
184,07/08/18,0.11897007932056484
185,07/09/18,0.12282883871788336
186,07/10/18,0.1036986063836549
187,07/12/18,0.11606372357881341
